system:index,area_km2,band,class,class_name,.geo
4_0_13,37.652887756347994,classification_1989,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,7396.265466805467,classification_1990,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_1,66.28634421014432,classification_1990,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_2,19.95813833843982,classification_1990,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,4449.413656835321,classification_1990,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,10363.434989600622,classification_1990,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,26.032932147043656,classification_1990,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,21.4990609399414,classification_1990,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,506.7550385712876,classification_1990,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,0.13316355407714847,classification_1990,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_9,111.69504201024513,classification_1990,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_10,5.304698053710957,classification_1990,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_11,98.59854167956732,classification_1990,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_12,25.297790475162014,classification_1990,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_13,21.682587468322694,classification_1990,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,7256.350775712444,classification_1991,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_1,65.84431923541283,classification_1991,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_2,19.931486347839243,classification_1991,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_3,4441.700219222174,classification_1991,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_4,10517.655303352296,classification_1991,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_5,24.025316520812886,classification_1991,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_6,22.579892897521958,classification_1991,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_7,480.0698989404903,classification_1991,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_8,0.13316355407714847,classification_1991,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_9,113.80220322520901,classification_1991,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_10,5.462112441711443,classification_1991,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_11,104.22691314845953,classification_1991,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_12,24.65811772949604,classification_1991,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_13,35.917728361267166,classification_1991,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_0,7226.29896804486,classification_1992,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_1,59.19311612896768,classification_1992,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_2,19.859178894287,classification_1992,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_3,4473.323556753989,classification_1992,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_4,10538.483289383354,classification_1992,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_5,24.60984229626461,classification_1992,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_6,26.274169751220718,classification_1992,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_7,458.28366099750474,classification_1992,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_8,0.13316355407714847,classification_1992,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_9,111.03465538884409,classification_1992,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_10,6.363315696716319,classification_1992,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_11,105.84112877296161,classification_1992,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_12,24.159716321170997,classification_1992,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_13,38.49968870452908,classification_1992,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,7246.139056265752,classification_1993,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_1,64.65206393017604,classification_1993,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_2,20.81951835388171,classification_1993,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
